Title,Year,Plot
Explorers,1985,"A boy obsessed with '50s sci-fi movies about aliens has a recurring dream about a blueprint of some kind, which he draws for his inventor friend. With the help of a third kid, they follow it and build themselves a spaceship. Now w..."
Flesh+Blood,1985,"In medieval Europe, a young girl from a noble family is obsessed with her captors - commoners."
Mad Max Beyond Thunderdome,1985,"After being exiled from the most advanced town in post apocalyptic Australia, a drifter travels with a group of abandoned children to rebel against the town's queen."
After Hours,1985,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.
A View to a Kill,1985,The recovery of a microchip from the body of a fellow British secret agent leads James Bond to a mad industrialist scheming to cause massive destruction.
Fletch,1985,"While working undercover wisecracking newspaper reporter Irwin ""Fletch"" Fletcher is offered a large sum by a millionaire with a terminal disease to kill him. Intrigued, Fletch decides to unearth the full story behind the offer."
Perfect,1985,"A female aerobics instructor meets a male reporter doing a story on health clubs, but it isn't love at first sight."
A Nightmare on Elm Street 2: Freddy's Revenge,1985,"A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world."
Summer Rental,1985,An overworked air-traffic controller takes his family on a beach vacation but is soon beset by series of mishaps.
Lifeforce,1985,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos."
Pee-wee's Big Adventure,1985,"When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life."
Out of Africa,1985,"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter."
Day of the Dead,1985,"As the world is overrun by zombies, a group of scientists and military personnel sheltering in an underground bunker in Florida must decide on how they should deal with the undead horde."
Just One of the Guys,1985,Terry feels discriminated against when the summer jobs at the Sun Tribune go to two guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice...
National Lampoon's European Vacation,1985,The Griswolds win a vacation tour across Europe where the usual havoc ensues.
Spies Like Us,1985,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War."
House,2004–2012,"Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way."
Police Academy 2: Their First Assignment,1985,When a new gang moves into town it's up to the screwball police team to stop them.
The Black Cauldron,1985,A young boy and a group of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.
Friday the 13th: A New Beginning,1985,"Still haunted by his past, Tommy Jarvis, who, as a child, killed Jason Voorhees, is sent to a secluded halfway house in the countryside, where the killing of a young man triggers a brutal series of murders in the area."
Runaway Train,1985,Two escaped convicts and a female railway worker find themselves trapped on a speeding train with no brakes and nobody driving.
Re-Animator,1985,"After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue."
Brewster's Millions,1985,"A minor-league baseball player must spend $30 million in 30 days in order to inherit $300 million. However, he's not allowed to own any assets, destroy the money, gift it, give it to charity, or tell anyone about the deal."
The Last Dragon,1985,"In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow."
The Legend of Billie Jean,1985,A Texas teenager cuts her hair short and becomes an outlaw martyr with her brother and friends.
Desperately Seeking Susan,1985,A bored New Jersey suburban housewife's fascination with a free-spirited woman she has read about in the personal columns leads to her being mistaken for the woman herself.
Girls Just Want to Have Fun,1985,"Janey is new in town and soon meets Lynne, who shares her passion for dancing in general and ""Dance TV"" in particular."
Vision Quest,1985,"A high school wrestler in Spokane, Washington has trouble focusing on his training regimen when a beautiful young drifter takes up temporary residence at his home."
Jagged Edge,1985,A wealthy woman is murdered in her beach house. The husband is allegedly knocked out first. He inherits all. He has a female ex criminal prosecutor represent him in court.
Enemy Mine,1985,"During a long space war, the lives of two wounded enemies become dependent on their ability to forgive and to trust."
Tuff Turf,1985,The new kid in school must battle a gang of street toughs after stealing the gang leader's girl.
Volunteers,1985,"1962, after Yale graduation, womanizing Lawrence flees a gambling debt that his rich dad won't pay. He takes his roomie's place as Peace Corps Volunteer in Thai Golden Triangle with 2 other PCVs. Will he survive 2 years?"
The Jewel of the Nile,1985,"When Joan Wilder is abducted while on a trip along the Nile, her boyfriend, Jack Colton, and pal Ralph rush to rescue her and retrieve a fabled jewel."
Once Bitten,1985,"A vampire Countess needs to drink the blood of a virgin in order to keep her eternal beauty. It seems that all is hopeless, until she bumps into Mark Kendall."
Private Resort,1985,"The story of two adolescent boys who are guests at a Florida resort for the week-end. Their only interest is, of course, chasing girls, but fate has much more in store for them."
Police Story,1985,A virtuous Hong Kong Police Officer must clear his good name when the drug lord he is after frames him for the murder of a dirty cop.
Into the Night,2020–2021,"When radiation from the sun causes a global disaster on Earth, survivors on an overnight flight from Brussels race from city to city trying to stay ahead of the sun's rays by remaining in the cover of night."
The Sure Thing,1985,"Walter Gibson is a university freshman going through a dry spell. His old buddy arranges a ""sure thing"" for him in California. Gibson and his classmate Allison then take a long road trip out to Cali, and both foil each other's plans."
White Nights,1957,A humble clerk courts a woman who awaits her lover's return night after night.
Mischief,1985,"Guided by James Dean, the eternal symbol of youthful rebellion, a gawky high school student obsessed with the hottest girl in class takes a crash course in teenage coolness from his motorcycle-rebel neighbor."
Silver Bullet,1985,"In a small town, brutal killings start to plague the close knit community. Marty Coslaw, a paraplegic boy, is convinced the murders are the doings of a werewolf."
Kiss of the Spider Woman,1985,A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.
My Beautiful Laundrette,1985,An ambitious Pakistani Briton and his white boyfriend strive for success and hope when they open a glamorous laundromat.
Young Sherlock Holmes,1985,"When assorted people start having inexplicable delusions that lead to their deaths, a teenage Sherlock Holmes decides to investigate."
Smooth Talk,1985,A free-spirited 15-year-old girl flirts with a dangerous stranger in the Northern California suburbs and must prepare herself for the frightening and traumatic consequences.
Porky's Revenge,1985,"As graduation nears for the class of 1955 at Angel Beach High, the gang once again faces off against their old enemy, Porky, who wants them to throw the school's championship basketball game because he's betting on the opposing team."
Year of the Dragon,1985,A police detective cracks down on organized crime in Chinatown after the murders of Triad and Mafia leaders.
Prizzi's Honor,1985,Two professional assassins fall in love.
The Quiet Earth,1985,"A man named Zac Hobson awakens to find himself alone in the world. In a desperate attempt to search for others, he finds only two who have their own agenda."
Tampopo,1985,A truck driver stops at a small family-run noodle shop and decides to help its fledgling business. The story is intertwined with various vignettes about the relationship of love and food.
Creature,1985,"After a member of a geological research team who was sent to Saturn's largest moon: Titan crashes their spacecraft into a space station, another team is sent to Titan to investigate, not knowing the terror that awaits them."
Secret Admirer,1985,An anonymous love letter left in Michael Ryan's locker on the last day of school wreaks havoc on his life and the lives of everyone who come in contact with it.
"No Retreat, No Surrender",1985,"Jason, a Bruce Lee fan, sees his karate instructor/dad beaten by martial art thugs. They move to Seattle where, after humiliations, he trains with Bruce Lee's ghost so he can defend himself and others against thugs."
D.A.R.Y.L.,1985,A seemingly normal young boy is found abandoned on a mountain road and adopted by a family who are increasingly amazed by his abilities before discovering the secret behind his real identity.
Mishima: A Life in Four Chapters,1985,A fictionalized account in four chapters of the life of celebrated Japanese writer Yukio Mishima.
A Chorus Line,1985,Hopefuls try out before a demanding director for a part in a new musical.
Cat's Eye,1985,A stray cat is the linking element of three tales of suspense and horror.
Murphy's Romance,1985,"Emma moves to a ranch with her son after a divorce and befriends the older Murphy, but things turn complicated when her ex shows up."
Heaven Help Us,1985,A new transfer student to St. Basil's Boys' Prep School tries to fit in while romantically pursuing a troubled young girl.
American Flyers,1985,"Marcus takes his kid brother, David, with him for a physical test and a brain scan, suspecting cerebral aneurysm like their dad died of. They head off on bikes for the big Rockies bike race with Marcus' Sarah driving the van."
The Journey of Natty Gann,1985,"In the 1930s, a tomboy runs away from her guardian to join her single father who is 2,000 miles away, where he has found work."
Trouble in Mind,1985,"The lives of an ex-con, a coffee-shop owner, and a young couple looking to make it rich intersect in the fictional and hypnotic Rain City."
Fandango,1985,"Five college buddies from the University of Texas circa 1971 embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures, in Vietnam and otherwise."
Gotcha!,1985,"Jonathan plays Gotcha with fellow college students, testing ability as assassin or mark, using paintball guns on campus. He flies to Paris on vacation and, with a woman taking his virginity, on to Berlin, where the game/ammo gets ..."
Death Wish 3,1985,Architect/vigilante Paul Kersey arrives back in New York City and is forcibly recruited by a crooked police chief to fight street crime caused by a large gang terrorizing the neighborhoods.
The Librarian: Return to King Solomon's Mines,2006,Librarian-turned-adventurer Flynn Carsen endeavors to find King Solomon's mines.
American Warrior,2017,N/A
The Emerald Forest,1985,"After the son of engineer Bill Markham is abducted by an aboriginal tribe on the edge of the rain forest, the engineer spends the next 10 years searching for him."
The Holcroft Covenant,1985,The son of a German General becomes part of a mysterious conspiracy to gain hidden Nazi funds.
The Falcon and the Snowman,1985,The true story of a disillusioned military contractor employee and his drug pusher childhood friend who became walk-in spies for the Soviet Union.
Transylvania 6-5000,1985,"Two tabloid reporters are sent to Transylvania to find the Frankenstein monster - or get fired. They are laughed at there, but something suspicious is going on."
Desert Hearts,1985,"While waiting for her divorce papers, a repressed professor of literature is unexpectedly seduced by a carefree, spirited young lesbian."
The Heavenly Kid,1985,"In order to earn his wings and get into heaven, a hip guardian angel is handed the task of watching over a lonely high school boy who needs guidance on how to fit in."
The Purple Rose of Cairo,1985,"In 1935 New Jersey, a movie character walks off the screen and into the real world."
The Man with One Red Shoe,1985,A man picked randomly out of a crowd is made the target of CIA survelliance and pursuit.
My Life as a Dog,1985,"In the late '50s, young Ingemar learns a lot about life and himself when he is sent away from his sick mother to live with his aunt and uncle in a town full of eccentrics."
My Science Project,1985,"A high school student and his friend find a strange, orb-like piece of equipment to use as a science project, but must stop it when it begins to threaten mankind."
Seven Minutes in Heaven,1986,"When her father goes out of town, beautiful A-student Natalie lets best friends Jeff and Polly move in. Separately and together, the trio of young teens learn much about life, love, and growing up."
Fraternity Vacation,1985,"Two fraternity brothers take advantage of their nerdy pledge's generous parents to spend time with him in Palm Springs and encourage him to mingle with girls, but things don't go as planned when they run into rival fraternity memb..."
The New Kids,1985,"A brother and sister arrive in a small town to help their relatives run an amusement park, and they find the town is terrorized by a local street gang."
Tomboy,2011,"A family moves into a new neighborhood, and a 10-year-old named Laure deliberately presents as a boy named Mikhael to the neighborhood children."
Invasion U.S.A.,1985,A one-man army comes to the rescue when the United States are invaded by communists.
Revolution,2012–2014,"Fifteen years after a permanent global blackout, a group of revolutionaries seek to drive out a tyrannical militia that's taken over the former United States of America."
Lost in America,1985,"A husband and wife in their 30s decide to quit their jobs, live as free spirits and cruise America in a Winnebago."
Subway,1985,"On improvising a burglary at a shady tycoon's home, Fred takes refuge in the hip and surreal universe of the Paris Metro and encounters its assorted denizens, the tycoon's henchmen and his disenchanted young wife."
Moving Violations,1985,The goofy students of a remedial drivers education class find themselves butting heads with their abusive police instructors.
Nomads,1986,"A French anthropologist specializing in nomadic groups moves to Los Angeles with his wife, and starts following a group of sinister street punks who seem to live and move around in a black van. But they aren't what they seem."
Fool for Love,1985,"May is waiting for her boyfriend in a run-down American motel, when an old flame turns up and threatens to undermine her efforts and drag her back into the life that she was running away from. The situation soon turns complicated."
Baby: Secret of the Lost Legend,1985,"A paleontologist and her husband discover a mother and baby brontosaurus in Africa, and try to protect them from a group of hunters intent on capturing the dinosaurs."
Code of Silence,1985,A Chicago cop is caught in the middle of a gang war while his own comrades shun him because he wants to take down an irresponsible cop.
Crimewave,1985,"A pair of whacked-out cartoon-like exterminator/hitmen kill the owner of a burglar-alarm company, and stalk the partner who hired them, his wife, and a nerd framed for the murder, who tells the story in flashback from the electric..."
Gymkata,1985,An American gymnast travels to a foreign country to compete in a deadly game not won by anyone other than a native in more than 900 years.
Sweet Dreams,1985,"The story of Patsy Cline, the velvet-voiced country music singer who died in a tragic plane crash at the height of her fame."
The Slugger's Wife,1985,"A major league star who is on the verge of breaking a record, meets a singer and they get married, but they have different goals, so they separate, jeopardizing his opportunity in sports and the possibility of making up with his w..."
Avenging Angel,1985,"Molly, former prostitute, has managed to leave her street life with help from Lt. Andrews. She studies law and leads a normal life. When Andrews is killed by a brutal gang, she returns to the streets as Angel to find his killers."
Santa Claus: The Movie,1985,The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.
That Was Then... This Is Now,1985,"Two juvenile delinquents find themselves growing apart, for one is growing up, and the other is staying young and reckless."
Agnes of God,1985,"When a naive novice nun is discovered with a dead newborn in her convent quarters, a court-appointed psychiatrist investigates her case."
Rustlers' Rhapsody,1985,"The Wild West goes wacko when the Greatest Fast-Drawin', Fancy-Dressin', Silver-Spurred, Geetar Playin', Singing Cowboy movie matinee idol Rex O'Herlihan hits the saddle in this cockeyed, affectionate send-up of the '40s B-movie W..."
The Adventures of Mark Twain,1985,"Tom Sawyer, Becky Thatcher and Huck Finn join Mark Twain on his airship to meet Halley's Comet."
Stick,1985,"Released from prison, Stick meets up with a friend and joins him on a job delivering a bag. His friend gets killed in the setup. Stick gets away and is ready to forget all and see his daughter, but they won't forget."
The Bride,2015,"As the Bride and the Groom prepare for the wedding in the pale desert, a tale of unappeased desires, forbidden yearnings, and conflicted choices unfolds. Now, three lovers stand powerless before the true nature of man. Is fate una..."
Morons from Outer Space,1985,"A trio of moronic aliens crash-land on Earth and become celebrities, while a fourth alien, who arrives separately, finds himself ignored."
Godzilla 1985,1985,"Thirty years after the original monster's rampage, a new Godzilla emerges and attacks Japan."
Plenty,1985,"A young Englishwoman spends twenty years to make whatever kind of life for herself, at the expense of others around her, in post-World War II England."
King David,1985,The Biblical story of Israel's greatest King.
The Trip to Bountiful,1985,"In 1940s Texas, an elderly woman is determined to visit her childhood home one last time."
Missing in Action 2: The Beginning,1985,"Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape."
The Protector,2005,"A young fighter named Kham must go to Australia to retrieve his stolen elephant. With the help of a Thai-born Australian detective, Kham must take on all comers, including a gang led by an evil woman and her two deadly bodyguards."
The Mean Season,1985,"When a teenager is shot at the beach, a journalist from The Miami Journal is sent to cover the story. He's called by the murderer and told there'll be four more."
Turk 182,1985,"Jimmy Lynch is angry because his older brother, who was injured as a result of an off duty fire rescue, is denied benefits by the city."
The Official Story,1985,"During the final months of Argentinian Military Dictatorship in 1983, a high school teacher sets out to find out who the mother of her adopted daughter is."
Krush Groove,1985,The story of a man who has started a new hip-hop/rap label called Krush Groove.
He-Man and She-Ra: The Secret of the Sword,1985,"Prince Adam is sent to the world of Etheria to find his long abducted sister, Adora, and awaken her to her own destiny."
Warning Sign,1985,A woman working as a security guard in an agricultural research facility finds herself and her co-worker Schmidt fighting to survive against their former friends.
Creator,1985,An eccentric scientist teaches a student in his own manner while he looks for a way to clone his deceased wife.
Taipei Story,1985,"Lung is a former member of the national Little League team who lives with his old childhood sweetheart Ah-chin, a traditional family woman. Although they live together, Ah-chin is weary of Lung's past liaison with another girl."
The Aviator,2004,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.
Starchaser: The Legend of Orin,1985,"Set on the subterranean Mine-World, a band of human worker are treated like slaves under the power of the evil overlord Zygon until one, Orin, unearths the hilt of a mythical sword that only he can master. Escaping the planet, he ..."
Maxie,1985,"A 1920s flapper who haunts her old house possesses a reserved housewife who just moved in. However, she cannot leave before she receives her massive audition for a Hollywood studio."
DEFCON-4,1985,"Two men and a woman circle the globe in a satellite armed with a nuclear device. The third world war breaks out, and a few months later the satellite crashes. They survive the crash but one man gets killed by survivors and the oth..."
The Care Bears Movie,1985,The Care Bears team up with a troubled brother and sister who just moved to a new town to help a neglected young magician's apprentice whose evil spell book causes sinister things to happen.
Sylvester,1985,Charlie is a 16-year-old orphan struggling to raise her two younger brothers when she endeavors to train a rogue horse she names Sylvester and turn him into an eventing champion.
Radioactive Dreams,1984,"After a nuclear war, Phillip Hammer and Marlowe Chandler have spent fifteen years on their own in a bunker, stuffed with junk from the 40s and old detective novels. Now, nineteen-years-old, they leave their shelter to find a world..."
Twice in a Lifetime,1985,A 50-year-old married man begins an extramarital relationship which creates uncomfortable friction in his family between his long-time wife and grown children.
Dance with a Stranger,1985,"A stormy relationship, complicated by the strictures of 1950s social class and gender roles, ends in death. Based on the life of Ruth Ellis, the last woman hanged in Britain."
Water,2005,"Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply affects the lives of the other residents."
One Magic Christmas,1985,"An angel must show a mother the true meaning of Christmas. It's not just presents and materialistic things, but the people she cares about too."
Echo Park,1985,"In the Echo Park neighborhood of Los Angeles, everyone is more than they initially seem. May waits tables, raises a son, Henry, and is an aspiring actress. She needs a roommate and takes in a pizza deliverer named Jonathan, an asp..."
O.C. and Stiggs,1985,"O.C. and Stiggs aren't your average unhappy teenagers. They not only despise their suburban surroundings, they plot against them. They seek revenge against the middle-class Schwab family, who embody all they detest: the middle class."
The Good Father,1985,"Bill (Sir Anthony Hopkins) is a man who's very bitter about his divorce and losing custody of his son. So, when one of his friends is being sued for divorce by his wife, so that she can enter into a lesbian relationship, Bill deci..."
Fever Pitch,2005,Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.
The Doctor and the Devils,1985,"In Victorian England, two grave robbers supply a wealthy doctor with bodies to research anatomy on, but greed causes them to look for a more simple way to get the job done. Based on the horrifying Burke and Hare case."
Head Office,1985,"Lazy, womanizing Jack gets employed at the NYC HQ of the multinational conglomerate, INC. Crazy chaos, promotions, firings, suicides etc. seem to be the way of the day."
Eleni,1985,A mother's love for her children leads to a son's revenge for her death in this dramatic thriller that begins during the Greek civil war.
Dreamchild,1985,Ian Holm is children's author Lewis Carroll in this poignant fantasy-drama set in 1930s New York and populated by the fabulous special effects creatures of Muppet master Jim Henson.
Defense of the Realm,1985,"After a newspaper reporter helps expose a Member of Parliament as a possible spy, he finds that there's much more to the story than that."
Bad Medicine,1985,"Unable to gain acceptance into an American medical school, aspiring physician Jeff Marx studies abroad in a small Latin American medical program run by the country's dictator."
Wetherby,1985,"The mysterious death of an enigmatic young man newly arrived in the suburb of Wetherby releases the long-repressed, dark passions of some of its residents."
Compromising Positions,1985,An ex-newspaper woman who is now a suburban housewife can't resist getting involved in an investigation of the murder of a philandering dentist who had been having affairs with several of her neighbors.
Rainbow Brite and the Star Stealer,1985,Rainbow Brite must stop an evil princess and her underlings from taking over the planet Spectra.
Alamo Bay,1985,A despondent Vietnam veteran in danger of losing his livelihood is pushed to the edge when he sees Vietnamese immigrants moving into the fishing industry in a Texas bay town.
Three Men and a Cradle,1985,"Jacques, Pierre, and Michel are three adult friends who enjoy single life until they find themselves stuck with a baby."
In the Shadow of Kilimanjaro,1985,"Because of a severe drought in Kenya in 1984, ninety thousand starving baboons go on a murderous rampage, killing humans and animals alike."
Rappin',1985,An ex-con and break-dancer helps save a neighborhood from a greedy developer while trying to win a rap contest.
Certain Fury,1985,"During a courtroom shootout, a teenage sex worker and small-time crook wind up on the run to fight their way together through the drug underworld."
Bliss,2021,"A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is a computer simulat..."
Code Name: Emerald,1985,"Emerald is an agent the Germans ""have"" inside allied intelligence 1944/WWII. With ""help"" from Emerald, the Germans catch Wheeler, believed to know the when and where of D-Day. Emerald is sent to be Wheeler's cell mate. Let the gam..."
Colonel Redl,1985,"Set during the fading glory of the Austro-Hungarian empire, the film tells of the rise and fall of Alfred Redl (Brandauer), an ambitious young officer who proceeds up the ladder to become head of the Secret Police only to become e..."
Thunder Run,1985,"Charlie, a Korean War veteran, is driving a truck which is transporting plutonium from Nevada to Arizona. But there are a bunch of terrorists who want to steal the stuff..."
Marie,1985,A political appointee risks her job and her life to expose corruption.
Movers & Shakers,1985,"Joe Mulholland, Head of Production at a Hollywood studio, makes a rather fool-hardy promise to a dying friend. He undertakes to make a major movie using the title - if not the content - of a best-selling sex manual ""Love in Sex"". ..."
La Cage aux Folles 3: The Wedding,1985,"Third (and final) of the La Cage aux Folles series has Renato's drag queen lover Albin learning he can inherit a vast fortune from a distant relative. But the catch; Albin must marry (a woman) and produce an heir within a year, or..."
James Joyce's Women,1985,"In this tribute to James Joyce, Fionnula Flanagan gives a tour-de-force performance as a half-dozen or so women in Joyce's real and fictional worlds. When she portrays his wife Nora remembering their time together, Flanagan captur..."
Turtle Diary,1985,"Two separate people, a man and a woman, find something very stirring about the sea turtles in their tank at the London Zoo. They meet and form an odd, but sympathetic camaraderie as they plan to steal two of the turtles and free t..."
Maccheroni,1985,"A businessman from the United States returns to Italy for the first time in four decades, only to discover that old friends have involved him in a massive hoax."
My Man Adam,1985,"A pizza delivery lad, who fantasises about his dream girl and what heroic deed he can perform to make her notice him, gets involved in a murder."
